#Version 6.4.1.1 ,,,,,,,,,,,,,,,,
#New best, Iteration, Feasible,Objective,Req 1,Req 2,[bienAtendidos1],[bienAtendidos2],[malAtendidos1],[malAtendidos2],[mu1],[mu2],[mu3],,,,
#, , , ,,,,,,,discrete (35 85 1), discrete (90 130 1), discrete (100 135 1),Media1,STD1,Media2,STD2
,394,infeas,10565,0.718729051,0.773383022,218.6666667,682.3333333,83.33333333,201.6666667,36,101,107,0.788689026,0.165399989,0.815323173,0.167451089
,395,infeas,10910,0.474417321,0.479746883,150.6666667,425,170,468,45,101,106,0.787893402,0.165945064,0.814473613,0.168088644
,396,,13305,1,0.99769495,297,877.3333333,0,2,79,90,125,0.788429025,0.166077264,0.814936293,0.168128036
,397,infeas,12670,0.900406599,0.986281053,273.3333333,845.3333333,30.33333333,12.33333333,36,118,135,0.788711084,0.16596262,0.815367892,0.168135681
,398,infeas,10655,0.758080982,0.829893129,224,736,73,150,41,98,106,0.788634124,0.165760578,0.815404388,0.167925368
,399,infeas,10610,0.723990388,0.885851871,220.6666667,781.6666667,84.33333333,101,37,101,107,0.788472109,0.165583833,0.815580948,0.167751352
,400,infeas,10980,0.635319315,0.523292625,184,458,115,416,58,90,102,0.788089227,0.165553401,0.814850227,0.168177197
,,,,,,,,,,,,,,,,
*,314,infeas,10635,0.875880397,0.892617441,261.8461538,787.4615385,36.53846154,95.53846154,40,99,106,,,,
*,234,infeas,10665,0.886008033,0.918843068,261.5384615,817.9230769,34.84615385,72.69230769,39,102,106,,,,
,298,infeas,10730,0.884499751,0.919418373,262.5384615,813.5384615,34.15384615,72.38461538,41,101,106,,,,
*,194,infeas,10790,0.946808854,0.964324622,277.8461538,850.1538462,15.53846154,31.84615385,40,98,109,,,,
,187,infeas,10805,0.878633782,0.904436167,253.6153846,803.2307692,35.84615385,84.76923077,40,101,108,,,,
*,143,infeas,10995,0.949665382,0.97218233,283.1538462,862,14.92307692,25.07692308,40,99,112,,,,
*,225,,11025,0.964294328,0.963937202,277.3076923,866.6923077,10.61538462,33.30769231,43,90,114,,,,
,85,infeas,11045,0.946534687,0.976417345,280.6923077,867.7692308,16.15384615,21.15384615,40,101,112,,,,
,171,infeas,11055,0.947251724,0.951855918,281.7692308,833.3076923,16.07692308,42.76923077,41,90,116,,,,
,100,infeas,11065,0.947364745,0.95212506,278.6153846,868.6923077,15.53846154,43.30769231,41,100,112,,,,
